No,Nama File,Kategori,Kode Kat,Nama Sampah,Nama Folder,Dapat Terurai,Waktu Urai,Referensi & Sumber Waktu Urai,Daur Ulang,Nilai Jual,Kesulitan Daur Ulang,Nilai Jual (Rp/kg),Biaya Proses (Rp/kg),Emisi CO2e (kg),Potensi Pengolahan,Olahan Sampah,Jenis Bahaya,Detail Bahaya,Metode Pengumpulan,Standar Regulasi
14,botol_kaca_14,Anorganik,ANO,Botol kaca minuman,botol_kaca,Tidak,1 juta tahun,1 juta th  | USEPA Glass Fact Sheet (2020); Glass Packaging Institute,Ya,Ya,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,"Daur ulang, reuse botol",Tidak berbahaya,Tidak ada,Pengepul,Permen LHK No. P.56/2015
15,botol_kaca_15,Anorganik,ANO,Botol kaca minuman,botol_kaca,Tidak,1 juta tahun,1 juta th  | USEPA Glass Fact Sheet (2020); Glass Packaging Institute,Ya,Ya,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,"Daur ulang, reuse botol",Tidak berbahaya,Tidak ada,Pengepul,Permen LHK No. P.56/2015
16,botol_kaca_16,Anorganik,ANO,Botol kaca minuman,botol_kaca,Tidak,1 juta tahun,1 juta th  | USEPA Glass Fact Sheet (2020); Glass Packaging Institute,Ya,Ya,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,"Daur ulang, reuse botol",Tidak berbahaya,Tidak ada,Pengepul,Permen LHK No. P.56/2015
17,botol_kaca_17,Anorganik,ANO,Botol kaca minuman,botol_kaca,Tidak,1 juta tahun,1 juta th  | USEPA Glass Fact Sheet (2020); Glass Packaging Institute,Ya,Ya,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,"Daur ulang, reuse botol",Tidak berbahaya,Tidak ada,Pengepul,Permen LHK No. P.56/2015
18,botol_kaca_18,Anorganik,ANO,Botol kaca minuman,botol_kaca,Tidak,1 juta tahun,1 juta th  | USEPA Glass Fact Sheet (2020); Glass Packaging Institute,Ya,Ya,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,"Daur ulang, reuse botol",Tidak berbahaya,Tidak ada,Pengepul,Permen LHK No. P.56/2015
19,botol_kaca_19,Anorganik,ANO,Botol kaca minuman,botol_kaca,Tidak,1 juta tahun,1 juta th  | USEPA Glass Fact Sheet (2020); Glass Packaging Institute,Ya,Ya,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,"Daur ulang, reuse botol",Tidak berbahaya,Tidak ada,Pengepul,Permen LHK No. P.56/2015
20,botol_kaca_20,Anorganik,ANO,Botol kaca minuman,botol_kaca,Tidak,1 juta tahun,1 juta th  | USEPA Glass Fact Sheet (2020); Glass Packaging Institute,Ya,Ya,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,"Daur ulang, reuse botol",Tidak berbahaya,Tidak ada,Pengepul,Permen LHK No. P.56/2015
21,botol_kaca_21,Anorganik,ANO,Botol kaca minuman,botol_kaca,Tidak,1 juta tahun,1 juta th  | USEPA Glass Fact Sheet (2020); Glass Packaging Institute,Ya,Ya,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,"Daur ulang, reuse botol",Tidak berbahaya,Tidak ada,Pengepul,Permen LHK No. P.56/2015
22,botol_kaca_22,Anorganik,ANO,Botol kaca minuman,botol_kaca,Tidak,1 juta tahun,1 juta th  | USEPA Glass Fact Sheet (2020); Glass Packaging Institute,Ya,Ya,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,"Daur ulang, reuse botol",Tidak berbahaya,Tidak ada,Pengepul,Permen LHK No. P.56/2015
23,botol_kaca_23,Anorganik,ANO,Botol kaca minuman,botol_kaca,Tidak,1 juta tahun,1 juta th  | USEPA Glass Fact Sheet (2020); Glass Packaging Institute,Ya,Ya,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,"Daur ulang, reuse botol",Tidak berbahaya,Tidak ada,Pengepul,Permen LHK No. P.56/2015
24,botol_kaca_24,Anorganik,ANO,Botol kaca minuman,botol_kaca,Tidak,1 juta tahun,1 juta th  | USEPA Glass Fact Sheet (2020); Glass Packaging Institute,Ya,Ya,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,"Daur ulang, reuse botol",Tidak berbahaya,Tidak ada,Pengepul,Permen LHK No. P.56/2015
25,botol_kaca_25,Anorganik,ANO,Botol kaca minuman,botol_kaca,Tidak,1 juta tahun,1 juta th  | USEPA Glass Fact Sheet (2020); Glass Packaging Institute,Ya,Ya,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,"Daur ulang, reuse botol",Tidak berbahaya,Tidak ada,Pengepul,Permen LHK No. P.56/2015
26,botol_kaca_26,Anorganik,ANO,Botol kaca minuman,botol_kaca,Tidak,1 juta tahun,1 juta th  | USEPA Glass Fact Sheet (2020); Glass Packaging Institute,Ya,Ya,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,"Daur ulang, reuse botol",Tidak berbahaya,Tidak ada,Pengepul,Permen LHK No. P.56/2015
27,botol_kaca_27,Anorganik,ANO,Botol kaca minuman,botol_kaca,Tidak,1 juta tahun,1 juta th  | USEPA Glass Fact Sheet (2020); Glass Packaging Institute,Ya,Ya,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,"Daur ulang, reuse botol",Tidak berbahaya,Tidak ada,Pengepul,Permen LHK No. P.56/2015
28,botol_kaca_28,Anorganik,ANO,Botol kaca minuman,botol_kaca,Tidak,1 juta tahun,1 juta th  | USEPA Glass Fact Sheet (2020); Glass Packaging Institute,Ya,Ya,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,"Daur ulang, reuse botol",Tidak berbahaya,Tidak ada,Pengepul,Permen LHK No. P.56/2015
29,botol_kaca_29,Anorganik,ANO,Botol kaca minuman,botol_kaca,Tidak,1 juta tahun,1 juta th  | USEPA Glass Fact Sheet (2020); Glass Packaging Institute,Ya,Ya,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,"Daur ulang, reuse botol",Tidak berbahaya,Tidak ada,Pengepul,Permen LHK No. P.56/2015
30,botol_kaca_30,Anorganik,ANO,Botol kaca minuman,botol_kaca,Tidak,1 juta tahun,1 juta th  | USEPA Glass Fact Sheet (2020); Glass Packaging Institute,Ya,Ya,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,"Daur ulang, reuse botol",Tidak berbahaya,Tidak ada,Pengepul,Permen LHK No. P.56/2015
31,botol_kaca_31,Anorganik,ANO,Botol kaca minuman,botol_kaca,Tidak,1 juta tahun,1 juta th  | USEPA Glass Fact Sheet (2020); Glass Packaging Institute,Ya,Ya,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,"Daur ulang, reuse botol",Tidak berbahaya,Tidak ada,Pengepul,Permen LHK No. P.56/2015
32,botol_kaca_32,Anorganik,ANO,Botol kaca minuman,botol_kaca,Tidak,1 juta tahun,1 juta th  | USEPA Glass Fact Sheet (2020); Glass Packaging Institute,Ya,Ya,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,"Daur ulang, reuse botol",Tidak berbahaya,Tidak ada,Pengepul,Permen LHK No. P.56/2015
33,botol_kaca_33,Anorganik,ANO,Botol kaca minuman,botol_kaca,Tidak,1 juta tahun,1 juta th  | USEPA Glass Fact Sheet (2020); Glass Packaging Institute,Ya,Ya,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,"Daur ulang, reuse botol",Tidak berbahaya,Tidak ada,Pengepul,Permen LHK No. P.56/2015
34,botol_kaca_34,Anorganik,ANO,Botol kaca minuman,botol_kaca,Tidak,1 juta tahun,1 juta th  | USEPA Glass Fact Sheet (2020); Glass Packaging Institute,Ya,Ya,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,"Daur ulang, reuse botol",Tidak berbahaya,Tidak ada,Pengepul,Permen LHK No. P.56/2015
35,botol_kaca_35,Anorganik,ANO,Botol kaca minuman,botol_kaca,Tidak,1 juta tahun,1 juta th  | USEPA Glass Fact Sheet (2020); Glass Packaging Institute,Ya,Ya,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,"Daur ulang, reuse botol",Tidak berbahaya,Tidak ada,Pengepul,Permen LHK No. P.56/2015
36,botol_kaca_36,Anorganik,ANO,Botol kaca minuman,botol_kaca,Tidak,1 juta tahun,1 juta th  | USEPA Glass Fact Sheet (2020); Glass Packaging Institute,Ya,Ya,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,"Daur ulang, reuse botol",Tidak berbahaya,Tidak ada,Pengepul,Permen LHK No. P.56/2015
37,botol_kaca_37,Anorganik,ANO,Botol kaca minuman,botol_kaca,Tidak,1 juta tahun,1 juta th  | USEPA Glass Fact Sheet (2020); Glass Packaging Institute,Ya,Ya,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,"Daur ulang, reuse botol",Tidak berbahaya,Tidak ada,Pengepul,Permen LHK No. P.56/2015
38,botol_kaca_38,Anorganik,ANO,Botol kaca minuman,botol_kaca,Tidak,1 juta tahun,1 juta th  | USEPA Glass Fact Sheet (2020); Glass Packaging Institute,Ya,Ya,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,"Daur ulang, reuse botol",Tidak berbahaya,Tidak ada,Pengepul,Permen LHK No. P.56/2015
39,botol_kaca_39,Anorganik,ANO,Botol kaca minuman,botol_kaca,Tidak,1 juta tahun,1 juta th  | USEPA Glass Fact Sheet (2020); Glass Packaging Institute,Ya,Ya,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,"Daur ulang, reuse botol",Tidak berbahaya,Tidak ada,Pengepul,Permen LHK No. P.56/2015
40,botol_kaca_40,Anorganik,ANO,Botol kaca minuman,botol_kaca,Tidak,1 juta tahun,1 juta th  | USEPA Glass Fact Sheet (2020); Glass Packaging Institute,Ya,Ya,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,"Daur ulang, reuse botol",Tidak berbahaya,Tidak ada,Pengepul,Permen LHK No. P.56/2015
41,botol_kaca_41,Anorganik,ANO,Botol kaca minuman,botol_kaca,Tidak,1 juta tahun,1 juta th  | USEPA Glass Fact Sheet (2020); Glass Packaging Institute,Ya,Ya,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,"Daur ulang, reuse botol",Tidak berbahaya,Tidak ada,Pengepul,Permen LHK No. P.56/2015
42,botol_kaca_42,Anorganik,ANO,Botol kaca minuman,botol_kaca,Tidak,1 juta tahun,1 juta th  | USEPA Glass Fact Sheet (2020); Glass Packaging Institute,Ya,Ya,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,"Daur ulang, reuse botol",Tidak berbahaya,Tidak ada,Pengepul,Permen LHK No. P.56/2015
43,botol_kaca_43,Anorganik,ANO,Botol kaca minuman,botol_kaca,Tidak,1 juta tahun,1 juta th  | USEPA Glass Fact Sheet (2020); Glass Packaging Institute,Ya,Ya,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,"Daur ulang, reuse botol",Tidak berbahaya,Tidak ada,Pengepul,Permen LHK No. P.56/2015
44,botol_kaca_44,Anorganik,ANO,Botol kaca minuman,botol_kaca,Tidak,1 juta tahun,1 juta th  | USEPA Glass Fact Sheet (2020); Glass Packaging Institute,Ya,Ya,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,"Daur ulang, reuse botol",Tidak berbahaya,Tidak ada,Pengepul,Permen LHK No. P.56/2015
45,botol_kaca_45,Anorganik,ANO,Botol kaca minuman,botol_kaca,Tidak,1 juta tahun,1 juta th  | USEPA Glass Fact Sheet (2020); Glass Packaging Institute,Ya,Ya,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,"Daur ulang, reuse botol",Tidak berbahaya,Tidak ada,Pengepul,Permen LHK No. P.56/2015
46,botol_kaca_46,Anorganik,ANO,Botol kaca minuman,botol_kaca,Tidak,1 juta tahun,1 juta th  | USEPA Glass Fact Sheet (2020); Glass Packaging Institute,Ya,Ya,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,"Daur ulang, reuse botol",Tidak berbahaya,Tidak ada,Pengepul,Permen LHK No. P.56/2015
47,botol_kaca_47,Anorganik,ANO,Botol kaca minuman,botol_kaca,Tidak,1 juta tahun,1 juta th  | USEPA Glass Fact Sheet (2020); Glass Packaging Institute,Ya,Ya,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,"Daur ulang, reuse botol",Tidak berbahaya,Tidak ada,Pengepul,Permen LHK No. P.56/2015
48,botol_kaca_48,Anorganik,ANO,Botol kaca minuman,botol_kaca,Tidak,1 juta tahun,1 juta th  | USEPA Glass Fact Sheet (2020); Glass Packaging Institute,Ya,Ya,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,"Daur ulang, reuse botol",Tidak berbahaya,Tidak ada,Pengepul,Permen LHK No. P.56/2015
49,botol_kaca_49,Anorganik,ANO,Botol kaca minuman,botol_kaca,Tidak,1 juta tahun,1 juta th  | USEPA Glass Fact Sheet (2020); Glass Packaging Institute,Ya,Ya,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,"Daur ulang, reuse botol",Tidak berbahaya,Tidak ada,Pengepul,Permen LHK No. P.56/2015
50,botol_kaca_50,Anorganik,ANO,Botol kaca minuman,botol_kaca,Tidak,1 juta tahun,1 juta th  | USEPA Glass Fact Sheet (2020); Glass Packaging Institute,Ya,Ya,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,"Daur ulang, reuse botol",Tidak berbahaya,Tidak ada,Pengepul,Permen LHK No. P.56/2015
51,botol_kaca_51,Anorganik,ANO,Botol kaca minuman,botol_kaca,Tidak,1 juta tahun,1 juta th  | USEPA Glass Fact Sheet (2020); Glass Packaging Institute,Ya,Ya,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,"Daur ulang, reuse botol",Tidak berbahaya,Tidak ada,Pengepul,Permen LHK No. P.56/2015
52,botol_kaca_52,Anorganik,ANO,Botol kaca minuman,botol_kaca,Tidak,1 juta tahun,1 juta th  | USEPA Glass Fact Sheet (2020); Glass Packaging Institute,Ya,Ya,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,"Daur ulang, reuse botol",Tidak berbahaya,Tidak ada,Pengepul,Permen LHK No. P.56/2015
53,botol_kaca_53,Anorganik,ANO,Botol kaca minuman,botol_kaca,Tidak,1 juta tahun,1 juta th  | USEPA Glass Fact Sheet (2020); Glass Packaging Institute,Ya,Ya,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,"Daur ulang, reuse botol",Tidak berbahaya,Tidak ada,Pengepul,Permen LHK No. P.56/2015
54,botol_kaca_54,Anorganik,ANO,Botol kaca minuman,botol_kaca,Tidak,1 juta tahun,1 juta th  | USEPA Glass Fact Sheet (2020); Glass Packaging Institute,Ya,Ya,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,"Daur ulang, reuse botol",Tidak berbahaya,Tidak ada,Pengepul,Permen LHK No. P.56/2015
55,botol_kaca_55,Anorganik,ANO,Botol kaca minuman,botol_kaca,Tidak,1 juta tahun,1 juta th  | USEPA Glass Fact Sheet (2020); Glass Packaging Institute,Ya,Ya,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,"Daur ulang, reuse botol",Tidak berbahaya,Tidak ada,Pengepul,Permen LHK No. P.56/2015
56,botol_kaca_56,Anorganik,ANO,Botol kaca minuman,botol_kaca,Tidak,1 juta tahun,1 juta th  | USEPA Glass Fact Sheet (2020); Glass Packaging Institute,Ya,Ya,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,"Daur ulang, reuse botol",Tidak berbahaya,Tidak ada,Pengepul,Permen LHK No. P.56/2015
57,botol_kaca_57,Anorganik,ANO,Botol kaca minuman,botol_kaca,Tidak,1 juta tahun,1 juta th  | USEPA Glass Fact Sheet (2020); Glass Packaging Institute,Ya,Ya,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,"Daur ulang, reuse botol",Tidak berbahaya,Tidak ada,Pengepul,Permen LHK No. P.56/2015
58,botol_kaca_58,Anorganik,ANO,Botol kaca minuman,botol_kaca,Tidak,1 juta tahun,1 juta th  | USEPA Glass Fact Sheet (2020); Glass Packaging Institute,Ya,Ya,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,"Daur ulang, reuse botol",Tidak berbahaya,Tidak ada,Pengepul,Permen LHK No. P.56/2015
59,botol_kaca_59,Anorganik,ANO,Botol kaca minuman,botol_kaca,Tidak,1 juta tahun,1 juta th  | USEPA Glass Fact Sheet (2020); Glass Packaging Institute,Ya,Ya,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,"Daur ulang, reuse botol",Tidak berbahaya,Tidak ada,Pengepul,Permen LHK No. P.56/2015
60,botol_kaca_60,Anorganik,ANO,Botol kaca minuman,botol_kaca,Tidak,1 juta tahun,1 juta th  | USEPA Glass Fact Sheet (2020); Glass Packaging Institute,Ya,Ya,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,"Daur ulang, reuse botol",Tidak berbahaya,Tidak ada,Pengepul,Permen LHK No. P.56/2015
61,botol_kaca_61,Anorganik,ANO,Botol kaca minuman,botol_kaca,Tidak,1 juta tahun,1 juta th  | USEPA Glass Fact Sheet (2020); Glass Packaging Institute,Ya,Ya,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,"Daur ulang, reuse botol",Tidak berbahaya,Tidak ada,Pengepul,Permen LHK No. P.56/2015
62,botol_kaca_62,Anorganik,ANO,Botol kaca minuman,botol_kaca,Tidak,1 juta tahun,1 juta th  | USEPA Glass Fact Sheet (2020); Glass Packaging Institute,Ya,Ya,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,"Daur ulang, reuse botol",Tidak berbahaya,Tidak ada,Pengepul,Permen LHK No. P.56/2015
63,botol_kaca_63,Anorganik,ANO,Botol kaca minuman,botol_kaca,Tidak,1 juta tahun,1 juta th  | USEPA Glass Fact Sheet (2020); Glass Packaging Institute,Ya,Ya,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,"Daur ulang, reuse botol",Tidak berbahaya,Tidak ada,Pengepul,Permen LHK No. P.56/2015
64,botol_kaca_64,Anorganik,ANO,Botol kaca minuman,botol_kaca,Tidak,1 juta tahun,1 juta th  | USEPA Glass Fact Sheet (2020); Glass Packaging Institute,Ya,Ya,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,"Daur ulang, reuse botol",Tidak berbahaya,Tidak ada,Pengepul,Permen LHK No. P.56/2015
65,botol_kaca_65,Anorganik,ANO,Botol kaca minuman,botol_kaca,Tidak,1 juta tahun,1 juta th  | USEPA Glass Fact Sheet (2020); Glass Packaging Institute,Ya,Ya,Sangat Sulit,Rendah (< Rp 500/kg),Sangat Tinggi (> Rp 5.000/kg),0.3,Bahan Baku Industri,"Daur ulang, reuse botol",Tidak berbahaya,Tidak ada,Pengepul,Permen LHK No. P.56/2015
